"연도"," 봄"," 여름"," 가을"," 겨울"," 연평균"
1973, 11.6, 24.5, 12.9, -1.4, 12.4
1974, 10.8, 22.4, 13.0, -0.1, 11.4
1975, 11.2, 23.9, 15.5,  0.3, 12.6
1976, 10.9, 22.6, 12.5, -1.7, 11.7
1977, 11.8, 23.5, 15.0,  0.7, 12.3
1978, 11.7, 24.7, 14.3,  2.2, 12.8
1979, 11.2, 23.5, 13.6, -0.2, 12.6
1980, 11.0, 22.1, 13.4, -2.3, 11.2
1981, 11.5, 23.6, 12.2, -0.1, 11.4
1982, 12.0, 23.4, 14.3, -0.2, 12.4
1983, 12.2, 23.4, 14.2, -2.1, 12.3
1984, 10.7, 24.3, 13.8, -0.6, 11.8
1985, 11.5, 24.1, 14.3, -2.1, 12.1
1986, 11.4, 22.9, 12.6,  1.2, 11.5
1987, 11.1, 23.2, 14.1,  0.3, 12.2
1988, 11.0, 23.6, 13.6,  1.7, 12.1
1989, 12.3, 22.9, 13.7,  1.4, 12.8
1990, 11.7, 24.3, 15.2,  0.2, 13.1
1991, 11.4, 23.4, 13.5,  1.7, 12.2
1992, 11.6, 23.2, 13.4,  1.1, 12.4
1993, 11.1, 21.7, 13.8,  0.5, 11.8
1994, 11.8, 25.3, 14.8,  0.8, 13.2
1995, 11.1, 23.7, 13.4, -0.6, 12.0
1996, 10.6, 23.5, 14.1,  0.5, 12.1
1997, 12.1, 24.0, 14.0,  1.9, 12.7
1998, 13.4, 23.1, 15.4,  1.6, 13.5
1999, 12.1, 23.3, 14.7,  0.3, 12.8
2000, 11.6, 24.2, 13.7,  0.3, 12.5
2001, 12.2, 24.2, 14.3,  1.5, 12.7
2002, 12.7, 23.1, 12.5,  0.9, 12.6
2003, 11.9, 22.3, 14.7,  1.4, 12.5
2004, 12.2, 24.0, 14.7,  0.5, 13.2
2005, 11.7, 24.1, 14.8, -0.1, 12.3
2006, 11.5, 23.6, 15.1,  2.4, 12.9
2007, 12.1, 23.8, 14.5,  0.7, 13.2
2008, 12.5, 23.7, 15.1,  1.7, 12.9
2009, 12.6, 23.3, 14.7,  0.5, 13.0
2010, 10.8, 24.9, 14.5, -0.7, 12.7
2011, 11.0, 24.0, 15.3, -0.4, 12.4
2012, 12.2, 24.7, 13.7, -1.0, 12.3
2013, 11.6, 25.4, 14.6,  1.5, 12.9
2014, 13.1, 23.6, 14.9,  0.7, 13.1
2015, 12.7, 23.7, 15.2,  1.4, 13.4
2016, 13.2, 24.8, 15.1,  1.6, 13.6